Seton Hall,+15,UConn,20240303,160413
Rider,-2,Canisius,20240303,160413
Indiana,+9,Maryland,20240303,160413
Manhattan,+11,Saint Peters,20240303,160413
Siena,+17,Quinnipiac,20240303,160413
UIC,+5,Missouri State,20240303,160413
Illinois State,-5.5,Valparaiso,20240303,160413
Mount Saint Marys,+3,Niagara,20240303,160413
UNI,+3,Southern Illinois,20240303,160413
Iona,+3.5,Marist,20240303,160413
East Carolina,+9,North Texas,20240303,160413
Kansas City,+2.5,Oral Roberts,20240303,160413
Bradley,+4,Drake,20240303,160413
Michigan,+11,Ohio State,20240303,160413
Murray State,+14,Indiana State,20240303,160413
Evansville,+10.5,Belmont,20240303,160413
UAB,+7.5,Memphis,20240303,160413
Rutgers,+8.5,Nebraska,20240303,160413
Stanford,+12,Colorado,20240303,160413
